"Categoria_1","Categoria_2","Frequência","Frequência Relativa (%)"
"Alfabetizado","Amarela",4,0.07
"Alfabetizado","Branca",197,3.61
"Alfabetizado","Indígena",4,0.07
"Alfabetizado","Não Informada",3799,69.69
"Alfabetizado","Parda",1350,24.77
"Alfabetizado","Preta",97,1.78
"Ensino Fundamental Completo","Amarela",2,0.1
"Ensino Fundamental Completo","Branca",76,3.71
"Ensino Fundamental Completo","Indígena",2,0.1
"Ensino Fundamental Completo","Não Informada",1358,66.37
"Ensino Fundamental Completo","Parda",582,28.45
"Ensino Fundamental Completo","Preta",26,1.27
"Ensino Fundamental Incompleto","Amarela",1,0.03
"Ensino Fundamental Incompleto","Branca",134,4.02
"Ensino Fundamental Incompleto","Indígena",7,0.21
"Ensino Fundamental Incompleto","Não Informada",2164,64.98
"Ensino Fundamental Incompleto","Parda",959,28.8
"Ensino Fundamental Incompleto","Preta",65,1.95
"Ensino Médio Completo","Amarela",1,0.06
"Ensino Médio Completo","Branca",102,5.96
"Ensino Médio Completo","Indígena",0,0
"Ensino Médio Completo","Não Informada",1132,66.2
"Ensino Médio Completo","Parda",455,26.61
"Ensino Médio Completo","Preta",20,1.17
"Ensino Médio Incompleto","Amarela",3,0.26
"Ensino Médio Incompleto","Branca",52,4.51
"Ensino Médio Incompleto","Indígena",0,0
"Ensino Médio Incompleto","Não Informada",782,67.76
"Ensino Médio Incompleto","Parda",299,25.91
"Ensino Médio Incompleto","Preta",18,1.56
"Não Alfabetizado","Amarela",0,0
"Não Alfabetizado","Branca",12,1.78
"Não Alfabetizado","Indígena",1,0.15
"Não Alfabetizado","Não Informada",478,71.03
"Não Alfabetizado","Parda",166,24.67
"Não Alfabetizado","Preta",16,2.38
"Não Informada","Amarela",0,0
"Não Informada","Branca",39,1.98
"Não Informada","Indígena",0,0
"Não Informada","Não Informada",1687,85.72
"Não Informada","Parda",226,11.48
"Não Informada","Preta",16,0.81
"Superior Completo","Amarela",0,0
"Superior Completo","Branca",9,7.32
"Superior Completo","Indígena",2,1.63
"Superior Completo","Não Informada",85,69.11
"Superior Completo","Parda",26,21.14
"Superior Completo","Preta",1,0.81
"Superior Incompleto","Amarela",0,0
"Superior Incompleto","Branca",2,2.11
"Superior Incompleto","Indígena",0,0
"Superior Incompleto","Não Informada",73,76.84
"Superior Incompleto","Parda",20,21.05
"Superior Incompleto","Preta",0,0
